0 000037
2 000044
B 000011
5 000117
7 000108
3 000118
B 000087
5 000034
3 000019
0 000008
1 000018
8 000005
F 000068
8 000073
6 000016
7 000032
5 000106
2 000007
5 000016
C 000087
8 000040
2 000085
A 000017
8 000042
6 000101
5 000038
8 000071
0 000022
A 000114
8 000016
6 000070
2 000120
5 000015
B 000039
A 000107
A 000096
3 000001
F 000111
2 000088
F 000017
9 000109
A 000009
6 000015
0 000098
D 000095
8 000024
3 000106
F 000097
3 000003
6 000058
7 000118
4 000111
7 000093
2 000033
5 000029
C 000125
A 000070
3 000090
5 000111
5 000030
4 000111
F 000063
C 000058
5 000030
6 000113
4 000021
5 000119
9 000108
C 000010
2 000033
F 000111
2 000032
0 000002
1 000104
F 000015
A 000117
3 000061
4 000098
0 000120
4 000035
B 000006
4 000070
4 000012
2 000031
8 000080
A 000075
9 000070
3 000100
2 000111
2 000014
F 000042
2 000049
4 000125
2 000103
1 000073
7 000095
0 000035
6 000011
5 000041
4 000071
D 000073
B 000036
9 000036
3 000125
D 000118
7 000085
B 000026
A 000056
F 000025
D 000039
3 000008
D 000042
7 000001
7 000092
4 000085
8 000064
3 000023
7 000116
5 000032
B 000106
